Record ID,Incident Year,Incident Month,Incident Day,Operator ID,Operator,Aircraft,Aircraft Type,Aircraft Make,Aircraft Model,Aircraft Mass,Engine Make,Engine Model,Engines,Engine Type,Engine1 Position,Engine2 Position,Engine3 Position,Engine4 Position,Airport ID,Airport,State,FAA Region,Warning Issued,Flight Phase,Visibility,Precipitation,Height,Speed,Distance,Species ID,Species Name,Species Quantity,Flight Impact,Fatalities,Injuries,Aircraft Damage,Radome Strike,Radome Damage,Windshield Strike,Windshield Damage,Nose Strike,Nose Damage,Engine1 Strike,Engine1 Damage,Engine2 Strike,Engine2 Damage,Engine3 Strike,Engine3 Damage,Engine4 Strike,Engine4 Damage,Engine Ingested,Propeller Strike,Propeller Damage,Wing or Rotor Strike,Wing or Rotor Damage,Fuselage Strike,Fuselage Damage,Landing Gear Strike,Landing Gear Damage,Tail Strike,Tail Damage,Lights Strike,Lights Damage,Other Strike,Other Damage
357621,2015,1,1,VOI,VOLARIS,A-320,A,04A,3,4,23,1,2,D,1,1,,,KSMF,SACRAMENTO INTL,CA,AWP,Y,APPROACH,NIGHT,NONE,500,,,UNKBS,UNKNOWN SMALL BIRD,1,NONE,,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357414,2015,1,1,UNK,UNKNOWN,UNKNOWN,,,,,,,,,,,,,KGNV,GAINESVILLE REG ARPT,FL,ASO,,,,,,,0,N5111,KILLDEER,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357712,2015,1,1,BUS,BUSINESS,EC135,B,33A,5,2,,,2,F,6,6,,,ZZZZ,UNKNOWN,,,,EN ROUTE,DAY,,,,,UNKB,UNKNOWN BIRD,1,OTHER,,,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357616,2015,1,1,ASA,ALASKA AIRLINES,B-737-800,A,148,43,4,10,1,2,D,1,1,,,ZZZZ,UNKNOWN,,,,,,,,,,O2205,MOURNING DOVE,1,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357617,2015,1,1,AAL,AMERICAN AIRLINES,MD-82,A,583,37,4,34,10,2,D,5,5,,,KSMF,SACRAMENTO INTL,CA,AWP,N,APPROACH,DAY,NONE,20,140,0,ZC204,AMERICAN PIPIT,1,NONE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
357618,2015,1,1,SKW,SKYWEST AIRLINES,EMB-120,A,332,11,3,31,10,2,C,4,4,,,KSMF,SACRAMENTO INTL,CA,AWP,Y,APPROACH,DAY,NONE,50,130,0,ZC204,AMERICAN PIPIT,1,NONE,,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357620,2015,1,1,UAL,UNITED AIRLINES,A-320,A,04A,3,4,23,1,2,D,1,1,,,KDEN,DENVER INTL AIRPORT,CO,ANM,,LANDING ROLL,DAY,,0,,0,O2111,ROCK PIGEON,1,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
357622,2015,1,1,BUS,BUSINESS,C-560,A,226,45,1,31,20,2,D,5,5,,,KRBD,DALLAS EXECUTIVE ARPT,TX,ASW,Y,LANDING ROLL,DAY,"FOG, RAIN",0,,0,NE104,RING-BILLED GULL,1,NONE,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
357619,2015,1,1,SWA,SOUTHWEST AIRLINES,B-737-700,A,148,42,4,10,1,2,D,1,1,,,ZZZZ,UNKNOWN,,,,,,,,,,UNKBS,UNKNOWN SMALL BIRD,1,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
357629,2015,1,2,SWA,SOUTHWEST AIRLINES,B-737-700,A,148,42,4,10,1,2,D,1,1,,,KSTL,LAMBERT-ST LOUIS INTL,MO,ACE,N,APPROACH,NIGHT,NONE,2600,210,,UNKBL,UNKNOWN LARGE BIRD,10-Feb,NONE,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
